,Model,Imputation,Correction,Forecast,Recon_method,Total,Forecasting_Model
90,hybrid-KNN-median-Correction_False-KNeighborsRegressor-96-96,79.80674958229065,0.0,582.8836543560028,hybrid,662.6904039382935,KNeighborsRegressor
91,hybrid-KNN-median-Correction_False-RandomForestRegressor-96-96,79.80674958229065,0.0,1358.038076877594,hybrid,1437.8448264598846,RandomForestRegressor
92,hybrid-KNN-median-Correction_False-SVR-96-96,79.80674958229065,0.0,880.0647096633911,hybrid,959.8714592456818,SVR
93,hybrid-KNN-median-Correction_False-DecisionTreeRegressor-96-96,79.80674958229065,0.0,3.1533632278442383,hybrid,82.96011281013489,DecisionTreeRegressor
94,hybrid-KNN-median-Correction_False-GradientBoostingRegressor-96-96,79.80674958229065,0.0,219.6951766014099,hybrid,299.50192618370056,GradientBoostingRegressor
95,hybrid-KNN-median-Correction_False-ANN-96-96,79.80674958229065,0.0,278.05056142807007,hybrid,357.8573110103607,ANN
96,hybrid-RF-mean-Correction_True-KNeighborsRegressor-96-96,296.48824548721313,20.785409212112427,531.8038644790649,hybrid,849.0775191783905,KNeighborsRegressor
97,hybrid-RF-mean-Correction_True-RandomForestRegressor-96-96,296.48824548721313,20.785409212112427,1227.3619930744171,hybrid,1544.6356477737427,RandomForestRegressor
98,hybrid-RF-mean-Correction_True-SVR-96-96,296.48824548721313,20.785409212112427,828.7879223823547,hybrid,1146.0615770816803,SVR
99,hybrid-RF-mean-Correction_True-DecisionTreeRegressor-96-96,296.48824548721313,20.785409212112427,3.1864755153656006,hybrid,320.46013021469116,DecisionTreeRegressor
100,hybrid-RF-mean-Correction_True-GradientBoostingRegressor-96-96,296.48824548721313,20.785409212112427,228.30703687667847,hybrid,545.580691576004,GradientBoostingRegressor
101,hybrid-RF-mean-Correction_True-ANN-96-96,296.48824548721313,20.785409212112427,298.84552550315857,hybrid,616.1191802024841,ANN
102,hybrid-RF-mean-Correction_False-KNeighborsRegressor-96-96,301.78294348716736,0.0,532.2362327575684,hybrid,834.0191762447357,KNeighborsRegressor
103,hybrid-RF-mean-Correction_False-RandomForestRegressor-96-96,301.78294348716736,0.0,1222.5950548648834,hybrid,1524.3779983520508,RandomForestRegressor
104,hybrid-RF-mean-Correction_False-SVR-96-96,301.78294348716736,0.0,820.0139920711517,hybrid,1121.796935558319,SVR
105,hybrid-RF-mean-Correction_False-DecisionTreeRegressor-96-96,301.78294348716736,0.0,3.094719648361206,hybrid,304.87766313552856,DecisionTreeRegressor
106,hybrid-RF-mean-Correction_False-GradientBoostingRegressor-96-96,301.78294348716736,0.0,228.09035181999207,hybrid,529.8732953071594,GradientBoostingRegressor
107,hybrid-RF-mean-Correction_False-ANN-96-96,301.78294348716736,0.0,301.17851972579956,hybrid,602.9614632129669,ANN
108,hybrid-RF-median-Correction_True-KNeighborsRegressor-96-96,293.48956537246704,22.048032522201538,540.6300072669983,hybrid,856.1676051616669,KNeighborsRegressor
109,hybrid-RF-median-Correction_True-RandomForestRegressor-96-96,293.48956537246704,22.048032522201538,1200.7606863975525,hybrid,1516.298284292221,RandomForestRegressor
110,hybrid-RF-median-Correction_True-SVR-96-96,293.48956537246704,22.048032522201538,821.9510598182678,hybrid,1137.4886577129364,SVR
111,hybrid-RF-median-Correction_True-DecisionTreeRegressor-96-96,293.48956537246704,22.048032522201538,3.1168928146362305,hybrid,318.6544907093048,DecisionTreeRegressor
112,hybrid-RF-median-Correction_True-GradientBoostingRegressor-96-96,293.48956537246704,22.048032522201538,214.4462125301361,hybrid,529.9838104248047,GradientBoostingRegressor
113,hybrid-RF-median-Correction_True-ANN-96-96,293.48956537246704,22.048032522201538,300.16515946388245,hybrid,615.702757358551,ANN
114,hybrid-RF-median-Correction_False-KNeighborsRegressor-96-96,294.68650937080383,0.0,541.384295463562,hybrid,836.0708048343658,KNeighborsRegressor
115,hybrid-RF-median-Correction_False-RandomForestRegressor-96-96,294.68650937080383,0.0,1207.2239925861359,hybrid,1501.9105019569397,RandomForestRegressor
116,hybrid-RF-median-Correction_False-SVR-96-96,294.68650937080383,0.0,821.975100517273,hybrid,1116.6616098880768,SVR
117,hybrid-RF-median-Correction_False-DecisionTreeRegressor-96-96,294.68650937080383,0.0,3.2556650638580322,hybrid,297.94217443466187,DecisionTreeRegressor
118,hybrid-RF-median-Correction_False-GradientBoostingRegressor-96-96,294.68650937080383,0.0,215.11512637138367,hybrid,509.8016357421875,GradientBoostingRegressor
119,hybrid-RF-median-Correction_False-ANN-96-96,294.68650937080383,0.0,289.63066601753235,hybrid,584.3171753883362,ANN
120,hybrid-SVR-mean-Correction_True-KNeighborsRegressor-96-96,304.4681532382965,20.64882516860962,534.8706293106079,hybrid,859.987607717514,KNeighborsRegressor
121,hybrid-SVR-mean-Correction_True-RandomForestRegressor-96-96,304.4681532382965,20.64882516860962,1215.5388588905334,hybrid,1540.6558372974396,RandomForestRegressor
122,hybrid-SVR-mean-Correction_True-SVR-96-96,304.4681532382965,20.64882516860962,817.2129597663879,hybrid,1142.329938173294,SVR
123,hybrid-SVR-mean-Correction_True-DecisionTreeRegressor-96-96,304.4681532382965,20.64882516860962,3.2264933586120605,hybrid,328.3434717655182,DecisionTreeRegressor
124,hybrid-SVR-mean-Correction_True-GradientBoostingRegressor-96-96,304.4681532382965,20.64882516860962,225.29246354103088,hybrid,550.409441947937,GradientBoostingRegressor
125,hybrid-SVR-mean-Correction_True-ANN-96-96,304.4681532382965,20.64882516860962,305.2118854522705,hybrid,630.3288638591766,ANN
126,hybrid-SVR-mean-Correction_False-KNeighborsRegressor-96-96,302.82801699638367,0.0,533.6794421672821,hybrid,836.5074591636658,KNeighborsRegressor
127,hybrid-SVR-mean-Correction_False-RandomForestRegressor-96-96,302.82801699638367,0.0,1222.0178771018982,hybrid,1524.8458940982819,RandomForestRegressor
128,hybrid-SVR-mean-Correction_False-SVR-96-96,302.82801699638367,0.0,812.9087111949921,hybrid,1115.7367281913757,SVR
129,hybrid-SVR-mean-Correction_False-DecisionTreeRegressor-96-96,302.82801699638367,0.0,3.249394178390503,hybrid,306.07741117477417,DecisionTreeRegressor
130,hybrid-SVR-mean-Correction_False-GradientBoostingRegressor-96-96,302.82801699638367,0.0,228.18577337265015,hybrid,531.0137903690338,GradientBoostingRegressor
131,hybrid-SVR-mean-Correction_False-ANN-96-96,302.82801699638367,0.0,303.0877170562744,hybrid,605.9157340526581,ANN
132,hybrid-SVR-median-Correction_True-KNeighborsRegressor-96-96,301.4199929237366,20.967878341674805,540.9096491336823,hybrid,863.2975203990936,KNeighborsRegressor
133,hybrid-SVR-median-Correction_True-RandomForestRegressor-96-96,301.4199929237366,20.967878341674805,1206.446163892746,hybrid,1528.8340351581573,RandomForestRegressor
134,hybrid-SVR-median-Correction_True-SVR-96-96,301.4199929237366,20.967878341674805,835.8771593570709,hybrid,1158.2650306224823,SVR
135,hybrid-SVR-median-Correction_True-DecisionTreeRegressor-96-96,301.4199929237366,20.967878341674805,3.153087854385376,hybrid,325.54095911979675,DecisionTreeRegressor
136,hybrid-SVR-median-Correction_True-GradientBoostingRegressor-96-96,301.4199929237366,20.967878341674805,215.79285836219788,hybrid,538.1807296276093,GradientBoostingRegressor
137,hybrid-SVR-median-Correction_True-ANN-96-96,301.4199929237366,20.967878341674805,307.88488507270813,hybrid,630.2727563381195,ANN
138,hybrid-SVR-median-Correction_False-KNeighborsRegressor-96-96,304.8964829444885,0.0,550.5587539672852,hybrid,855.4552369117737,KNeighborsRegressor
139,hybrid-SVR-median-Correction_False-RandomForestRegressor-96-96,304.8964829444885,0.0,1259.0460233688354,hybrid,1563.942506313324,RandomForestRegressor
140,hybrid-SVR-median-Correction_False-SVR-96-96,304.8964829444885,0.0,842.5749394893646,hybrid,1147.4714224338531,SVR
141,hybrid-SVR-median-Correction_False-DecisionTreeRegressor-96-96,304.8964829444885,0.0,3.313532829284668,hybrid,308.2100157737732,DecisionTreeRegressor
142,hybrid-SVR-median-Correction_False-GradientBoostingRegressor-96-96,304.8964829444885,0.0,221.760639667511,hybrid,526.6571226119995,GradientBoostingRegressor
143,hybrid-SVR-median-Correction_False-ANN-96-96,304.8964829444885,0.0,303.1213026046753,hybrid,608.0177855491638,ANN
