Recon_method;Short_Recon_Method;Long_Recon_Method;Corrected;Forecasting_Model;R2;SMAPE;RMSE
hybrid;SVR;mean;Correction_False;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
hybrid;SVR;mean;Correction_False;RandomForestRegressor;0.972925904;0.140673457;4.23375217
hybrid;SVR;mean;Correction_False;SVR;0.984187976;0.108878285;3.235505796
hybrid;SVR;mean;Correction_True;ANN;0.946518619;0.221550334;5.950449323
hybrid;SVR;mean;Correction_True;DecisionTreeRegressor;0.939954788;0.228458786;6.305037068
hybrid;SVR;mean;Correction_True;GradientBoostingRegressor;0.979852054;0.123285257;3.652278101
hybrid;SVR;mean;Correction_True;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
hybrid;SVR;mean;Correction_True;RandomForestRegressor;0.975646344;0.127891598;4.015415901
hybrid;SVR;mean;Correction_True;SVR;0.984187976;0.108878285;3.235505796
hybrid;SVR;median;Correction_False;ANN;0.988433106;0.091044927;2.767303794
hybrid;SVR;median;Correction_False;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
hybrid;SVR;median;Correction_False;GradientBoostingRegressor;0.983582513;0.118827869;3.296869787
hybrid;SVR;median;Correction_False;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
hybrid;SVR;median;Correction_False;RandomForestRegressor;0.977512332;0.126506224;3.858519192
hybrid;SVR;median;Correction_False;SVR;0.984063794;0.109001192;3.248186218
hybrid;SVR;median;Correction_True;ANN;0.97822128;0.132275976;3.7972101
hybrid;SVR;median;Correction_True;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
hybrid;SVR;median;Correction_True;GradientBoostingRegressor;0.983582513;0.118827869;3.296869787
hybrid;SVR;median;Correction_True;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
hybrid;SVR;median;Correction_True;RandomForestRegressor;0.976548621;0.127064725;3.940330475
hybrid;SVR;median;Correction_True;SVR;0.984063794;0.109001192;3.248186218
mean;;;Correction_False;ANN;0.986454461;0.108821556;2.994653632
mean;;;Correction_False;DecisionTreeRegressor;0.939954893;0.228465196;6.305031564
mean;;;Correction_False;GradientBoostingRegressor;0.984370598;0.103888702;3.216767172
mean;;;Correction_False;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
mean;;;Correction_False;RandomForestRegressor;0.976214712;0.127174977;3.968283189
mean;;;Correction_False;SVR;0.984131815;0.109021182;3.241246659
mean;;;Correction_True;ANN;0.956016661;0.195969647;5.396256061
mean;;;Correction_True;DecisionTreeRegressor;0.939954893;0.228465196;6.305031564
mean;;;Correction_True;GradientBoostingRegressor;0.984370598;0.103888702;3.216767172
mean;;;Correction_True;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
mean;;;Correction_True;RandomForestRegressor;0.976070608;0.128083236;3.980286072
mean;;;Correction_True;SVR;0.984131815;0.109021182;3.241246659
median;;;Correction_False;ANN;0.991998894;0.080263982;2.30156616
median;;;Correction_False;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
median;;;Correction_False;GradientBoostingRegressor;0.980812619;0.123846827;3.56415273
median;;;Correction_False;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
median;;;Correction_False;RandomForestRegressor;0.973653238;0.132213904;4.176496094
median;;;Correction_False;SVR;0.984043014;0.109077256;3.25030324
median;;;Correction_True;ANN;0.985974015;0.09812331;3.047299498
median;;;Correction_True;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
median;;;Correction_True;GradientBoostingRegressor;0.980812619;0.123846827;3.56415273
median;;;Correction_True;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
median;;;Correction_True;RandomForestRegressor;0.976946695;0.125671086;3.906744871
median;;;Correction_True;SVR;0.984043014;0.109077256;3.25030324
